,Unnamed: 0,Unnamed: 0.1,actor_1_name,actor_2_name,actor_3_name,comb,director_name,genres,movie_title
27,27.0,27.0,J.K. Simmons,James Franco,Kirsten Dunst,J.K. Simmons James Franco Kirsten Dunst Sam Raimi Action Adventure Fantasy Romance,Sam Raimi,Action Adventure Fantasy Romance,spider-man 2
28,28.0,28.0,Robert Downey Jr.,Jon Favreau,Don Cheadle,Robert Downey Jr. Jon Favreau Don Cheadle Shane Black Action Adventure Sci-Fi,Shane Black,Action Adventure Sci-Fi,iron man 3
29,29.0,29.0,Hugh Jackman,Kelsey Grammer,Daniel Cudmore,Hugh Jackman Kelsey Grammer Daniel Cudmore Brett Ratner Action Adventure Fantasy Sci-Fi Thriller,Brett Ratner,Action Adventure Fantasy Sci-Fi Thriller,x-men: the last stand
30,30.0,30.0,Steve Buscemi,Tyler Labine,Sean Hayes,Steve Buscemi Tyler Labine Sean Hayes Dan Scanlon Adventure Animation Comedy Family Fantasy,Dan Scanlon,Adventure Animation Comedy Family Fantasy,monsters university
31,31.0,31.0,Glenn Morshower,Kevin Dunn,Ramon Rodriguez,Glenn Morshower Kevin Dunn Ramon Rodriguez Michael Bay Action Adventure Sci-Fi,Michael Bay,Action Adventure Sci-Fi,transformers: revenge of the fallen
32,32.0,32.0,Bingbing Li,Sophia Myles,Kelsey Grammer,Bingbing Li Sophia Myles Kelsey Grammer Michael Bay Action Adventure Sci-Fi,Michael Bay,Action Adventure Sci-Fi,transformers: age of extinction
33,33.0,33.0,Emma Stone,Andrew Garfield,B.J. Novak,Emma Stone Andrew Garfield B.J. Novak Marc Webb Action Adventure Fantasy Sci-Fi,Marc Webb,Action Adventure Fantasy Sci-Fi,the amazing spider-man 2
34,34.0,34.0,Joe Mantegna,Thomas Kretschmann,Eddie Izzard,Joe Mantegna Thomas Kretschmann Eddie Izzard John Lasseter Adventure Animation Comedy Family Sport,John Lasseter,Adventure Animation Comedy Family Sport,cars 2
35,35.0,35.0,Ryan Reynolds,Temuera Morrison,Taika Waititi,Ryan Reynolds Temuera Morrison Taika Waititi Martin Campbell Action Adventure Sci-Fi,Martin Campbell,Action Adventure Sci-Fi,green lantern
36,36.0,36.0,Tom Hanks,John Ratzenberger,Don Rickles,Tom Hanks John Ratzenberger Don Rickles Lee Unkrich Adventure Animation Comedy Family Fantasy,Lee Unkrich,Adventure Animation Comedy Family Fantasy,toy story 3
37,37.0,37.0,Christian Bale,Bryce Dallas Howard,Common,Christian Bale Bryce Dallas Howard Common McG Action Adventure Sci-Fi,McG,Action Adventure Sci-Fi,terminator salvation
38,38.0,38.0,Jason Statham,Paul Walker,Vin Diesel,Jason Statham Paul Walker Vin Diesel James Wan Action Crime Thriller,James Wan,Action Crime Thriller,furious 7
39,39.0,39.0,Peter Capaldi,Brad Pitt,Mireille Enos,Peter Capaldi Brad Pitt Mireille Enos Marc Forster Action Adventure Horror Sci-Fi Thriller,Marc Forster,Action Adventure Horror Sci-Fi Thriller,world war z
40,40.0,40.0,Jennifer Lawrence,Peter Dinklage,Hugh Jackman,Jennifer Lawrence Peter Dinklage Hugh Jackman Bryan Singer Action Adventure Fantasy Sci-Fi Thriller,Bryan Singer,Action Adventure Fantasy Sci-Fi Thriller,x-men: days of future past
41,41.0,41.0,Benedict Cumberbatch,Bruce Greenwood,Noel Clarke,Benedict Cumberbatch Bruce Greenwood Noel Clarke J.J. Abrams Action Adventure Sci-Fi,J.J. Abrams,Action Adventure Sci-Fi,star trek into darkness
42,42.0,42.0,Eddie Marsan,Ewen Bremner,Ralph Brown,Eddie Marsan Ewen Bremner Ralph Brown Bryan Singer Adventure Fantasy,Bryan Singer,Adventure Fantasy,jack the giant slayer
43,43.0,43.0,Jake Gyllenhaal,Richard Coyle,Reece Ritchie,Jake Gyllenhaal Richard Coyle Reece Ritchie Mike Newell Action Adventure Fantasy Romance,Mike Newell,Action Adventure Fantasy Romance,prince of persia: the sands of time
44,44.0,44.0,Charlie Hunnam,Clifton Collins Jr.,Larry Joe Campbell,Charlie Hunnam Clifton Collins Jr. Larry Joe Campbell Guillermo del Toro Action Adventure Sci-Fi,Guillermo del Toro,Action Adventure Sci-Fi,pacific rim
45,45.0,45.0,Glenn Morshower,Lester Speight,Kevin Dunn,Glenn Morshower Lester Speight Kevin Dunn Michael Bay Action Adventure Sci-Fi,Michael Bay,Action Adventure Sci-Fi,transformers: dark of the moon
46,46.0,46.0,Harrison Ford,Ray Winstone,Jim Broadbent,Harrison Ford Ray Winstone Jim Broadbent Steven Spielberg Action Adventure Fantasy,Steven Spielberg,Action Adventure Fantasy,indiana jones and the kingdom of the crystal skull
47,47.0,47.0,A.J. Buckley,Jack McGraw,Peter Sohn,A.J. Buckley Jack McGraw Peter Sohn Peter Sohn Adventure Animation Comedy Family Fantasy,Peter Sohn,Adventure Animation Comedy Family Fantasy,the good dinosaur
48,48.0,48.0,Kelly Macdonald,John Ratzenberger,Julie Walters,Kelly Macdonald John Ratzenberger Julie Walters Mark Andrews Adventure Animation Comedy Family Fantasy,Mark Andrews,Adventure Animation Comedy Family Fantasy,brave
49,49.0,49.0,Sofia Boutella,Melissa Roxburgh,Lydia Wilson,Sofia Boutella Melissa Roxburgh Lydia Wilson Justin Lin Action Adventure Sci-Fi Thriller,Justin Lin,Action Adventure Sci-Fi Thriller,star trek beyond
50,50.0,50.0,John Ratzenberger,Fred Willard,Jeff Garlin,John Ratzenberger Fred Willard Jeff Garlin Andrew Stanton Adventure Animation Family Sci-Fi,Andrew Stanton,Adventure Animation Family Sci-Fi,wall·e
51,51.0,51.0,Tzi Ma,Dana Ivey,Noémie Lenoir,Tzi Ma Dana Ivey Noémie Lenoir Brett Ratner Action Comedy Crime Thriller,Brett Ratner,Action Comedy Crime Thriller,rush hour 3
52,52.0,52.0,Oliver Platt,Liam James,Tom McCarthy,Oliver Platt Liam James Tom McCarthy Roland Emmerich Action Adventure Sci-Fi,Roland Emmerich,Action Adventure Sci-Fi,2012
53,53.0,53.0,Robin Wright,Colin Firth,Gary Oldman,Robin Wright Colin Firth Gary Oldman Robert Zemeckis Animation Drama Family Fantasy,Robert Zemeckis,Animation Drama Family Fantasy,a christmas carol
54,54.0,54.0,Channing Tatum,Mila Kunis,Eddie Redmayne,Channing Tatum Mila Kunis Eddie Redmayne Lana Wachowski Action Adventure Sci-Fi,Lana Wachowski,Action Adventure Sci-Fi,jupiter ascending
55,55.0,55.0,Jim Broadbent,Kiran Shah,Shane Rangi,Jim Broadbent Kiran Shah Shane Rangi Andrew Adamson Adventure Family Fantasy,Andrew Adamson,Adventure Family Fantasy,"the chronicles of narnia: the lion, the witch and the wardrobe"
56,56.0,56.0,Jennifer Lawrence,Michael Fassbender,Tye Sheridan,Jennifer Lawrence Michael Fassbender Tye Sheridan Bryan Singer Action Adventure Sci-Fi,Bryan Singer,Action Adventure Sci-Fi,x-men: apocalypse
57,57.0,57.0,Christian Bale,Heath Ledger,Morgan Freeman,Christian Bale Heath Ledger Morgan Freeman Christopher Nolan Action Crime Drama Thriller,Christopher Nolan,Action Crime Drama Thriller,the dark knight
58,58.0,58.0,John Ratzenberger,Delroy Lindo,Jess Harnell,John Ratzenberger Delroy Lindo Jess Harnell Pete Docter Adventure Animation Comedy Family,Pete Docter,Adventure Animation Comedy Family,up
59,59.0,59.0,Amy Poehler,Rainn Wilson,Stephen Colbert,Amy Poehler Rainn Wilson Stephen Colbert Rob Letterman Action Adventure Animation Comedy Family Sci-Fi,Rob Letterman,Action Adventure Animation Comedy Family Sci-Fi,monsters vs. aliens
60,60.0,60.0,Robert Downey Jr.,Jeff Bridges,Jon Favreau,Robert Downey Jr. Jeff Bridges Jon Favreau Jon Favreau Action Adventure Sci-Fi,Jon Favreau,Action Adventure Sci-Fi,iron man
61,61.0,61.0,Chloë Grace Moretz,Christopher Lee,Ray Winstone,Chloë Grace Moretz Christopher Lee Ray Winstone Martin Scorsese Adventure Drama Family Mystery,Martin Scorsese,Adventure Drama Family Mystery,hugo
62,62.0,62.0,Will Smith,Salma Hayek,Bai Ling,Will Smith Salma Hayek Bai Ling Barry Sonnenfeld Action Comedy Sci-Fi Western,Barry Sonnenfeld,Action Comedy Sci-Fi Western,wild wild west
63,63.0,63.0,Jet Li,Brendan Fraser,Russell Wong,Jet Li Brendan Fraser Russell Wong Rob Cohen Action Adventure Fantasy Horror Thriller,Rob Cohen,Action Adventure Fantasy Horror Thriller,the mummy: tomb of the dragon emperor
64,64.0,64.0,Will Smith,Robin Atkin Downes,Ike Barinholtz,Will Smith Robin Atkin Downes Ike Barinholtz David Ayer Action Adventure Comedy Sci-Fi,David Ayer,Action Adventure Comedy Sci-Fi,suicide squad
65,65.0,65.0,Jimmy Bennett,Morgan Freeman,Steve Carell,Jimmy Bennett Morgan Freeman Steve Carell Tom Shadyac Comedy Family Fantasy,Tom Shadyac,Comedy Family Fantasy,evan almighty
66,66.0,66.0,Tom Cruise,Lara Pulver,Noah Taylor,Tom Cruise Lara Pulver Noah Taylor Doug Liman Action Adventure Sci-Fi,Doug Liman,Action Adventure Sci-Fi,edge of tomorrow
67,67.0,67.0,Jeanne Tripplehorn,Rick Aviles,Zakes Mokae,Jeanne Tripplehorn Rick Aviles Zakes Mokae Kevin Reynolds Action Adventure Sci-Fi Thriller,Kevin Reynolds,Action Adventure Sci-Fi Thriller,waterworld
68,68.0,68.0,Joseph Gordon-Levitt,Dennis Quaid,Leo Howard,Joseph Gordon-Levitt Dennis Quaid Leo Howard Stephen Sommers Action Adventure Sci-Fi Thriller,Stephen Sommers,Action Adventure Sci-Fi Thriller,g.i. joe: the rise of cobra
69,69.0,69.0,Amy Poehler,Mindy Kaling,Phyllis Smith,Amy Poehler Mindy Kaling Phyllis Smith Pete Docter Adventure Animation Comedy Drama Family Fantasy,Pete Docter,Adventure Animation Comedy Drama Family Fantasy,inside out
70,70.0,70.0,Robert Downey Jr.,Scarlett Johansson,Jon Favreau,Robert Downey Jr. Scarlett Johansson Jon Favreau Jon Favreau Action Adventure Sci-Fi,Jon Favreau,Action Adventure Sci-Fi,iron man 2
71,71.0,71.0,Chris Hemsworth,Kristen Stewart,Sam Claflin,Chris Hemsworth Kristen Stewart Sam Claflin Rupert Sanders Action Adventure Drama Fantasy,Rupert Sanders,Action Adventure Drama Fantasy,snow white and the huntsman
72,72.0,72.0,Angelina Jolie Pitt,Sharlto Copley,Sam Riley,Angelina Jolie Pitt Sharlto Copley Sam Riley Robert Stromberg Action Adventure Family Fantasy Romance,Robert Stromberg,Action Adventure Family Fantasy Romance,maleficent
73,73.0,73.0,Gary Oldman,Judy Greer,Kodi Smit-McPhee,Gary Oldman Judy Greer Kodi Smit-McPhee Matt Reeves Action Adventure Drama Sci-Fi,Matt Reeves,Action Adventure Drama Sci-Fi,dawn of the planet of the apes
74,74.0,74.0,Keanu Reeves,Cary-Hiroyuki Tagawa,Jin Akanishi,Keanu Reeves Cary-Hiroyuki Tagawa Jin Akanishi Carl Rinsch Action Adventure Drama Fantasy,Carl Rinsch,Action Adventure Drama Fantasy,47 ronin
75,75.0,75.0,Scarlett Johansson,Chris Evans,Hayley Atwell,Scarlett Johansson Chris Evans Hayley Atwell Anthony Russo Action Adventure Sci-Fi,Anthony Russo,Action Adventure Sci-Fi,captain america: the winter soldier
76,76.0,76.0,Jon Hamm,Kathy Griffin,Mary Kay Place,Jon Hamm Kathy Griffin Mary Kay Place Mike Mitchell Adventure Animation Comedy Family Fantasy,Mike Mitchell,Adventure Animation Comedy Family Fantasy,shrek forever after
77,77.0,77.0,Judy Greer,Chris Bauer,Thomas Robinson,Judy Greer Chris Bauer Thomas Robinson Brad Bird Action Adventure Family Mystery Sci-Fi,Brad Bird,Action Adventure Family Mystery Sci-Fi,tomorrowland
78,78.0,78.0,Damon Wayans Jr.,Daniel Henney,Abraham Benrubi,Damon Wayans Jr. Daniel Henney Abraham Benrubi Don Hall Action Adventure Animation Comedy Drama Family Sci-Fi,Don Hall,Action Adventure Animation Comedy Drama Family Sci-Fi,big hero 6
79,79.0,79.0,Jack McBrayer,Sarah Silverman,Joe Lo Truglio,Jack McBrayer Sarah Silverman Joe Lo Truglio Rich Moore Adventure Animation Comedy Family Sci-Fi,Rich Moore,Adventure Animation Comedy Family Sci-Fi,wreck-it ralph
80,80.0,80.0,Tom Hanks,Eddie Deezen,Peter Scolari,Tom Hanks Eddie Deezen Peter Scolari Robert Zemeckis Adventure Animation Family Fantasy,Robert Zemeckis,Adventure Animation Family Fantasy,the polar express
81,81.0,81.0,Vivica A. Fox,Sela Ward,Judd Hirsch,Vivica A. Fox Sela Ward Judd Hirsch Roland Emmerich Action Adventure Sci-Fi,Roland Emmerich,Action Adventure Sci-Fi,independence day: resurgence
82,82.0,82.0,Gerard Butler,America Ferrera,Craig Ferguson,Gerard Butler America Ferrera Craig Ferguson Dean DeBlois Adventure Animation Family Fantasy,Dean DeBlois,Adventure Animation Family Fantasy,how to train your dragon
83,83.0,83.0,Nick Stahl,M.C. Gainey,Carolyn Hennesy,Nick Stahl M.C. Gainey Carolyn Hennesy Jonathan Mostow Action Sci-Fi,Jonathan Mostow,Action Sci-Fi,terminator 3: rise of the machines
84,84.0,84.0,Bradley Cooper,Vin Diesel,Djimon Hounsou,Bradley Cooper Vin Diesel Djimon Hounsou James Gunn Action Adventure Sci-Fi,James Gunn,Action Adventure Sci-Fi,guardians of the galaxy
85,85.0,85.0,Matthew McConaughey,Anne Hathaway,Mackenzie Foy,Matthew McConaughey Anne Hathaway Mackenzie Foy Christopher Nolan Adventure Drama Sci-Fi,Christopher Nolan,Adventure Drama Sci-Fi,interstellar
86,86.0,86.0,Leonardo DiCaprio,Tom Hardy,Joseph Gordon-Levitt,Leonardo DiCaprio Tom Hardy Joseph Gordon-Levitt Christopher Nolan Action Adventure Sci-Fi Thriller,Christopher Nolan,Action Adventure Sci-Fi Thriller,inception
87,87.0,87.0,Aidan Turner,Adam Brown,James Nesbitt,Aidan Turner Adam Brown James Nesbitt Peter Jackson Adventure Fantasy,Peter Jackson,Adventure Fantasy,the hobbit: an unexpected journey
88,88.0,88.0,Brad Pitt,Jason Flemyng,Julia Ormond,Brad Pitt Jason Flemyng Julia Ormond David Fincher Drama Fantasy Romance,David Fincher,Drama Fantasy Romance,the curious case of benjamin button
89,89.0,89.0,Jennifer Lawrence,Michael Fassbender,Oliver Platt,Jennifer Lawrence Michael Fassbender Oliver Platt Matthew Vaughn Action Adventure Sci-Fi,Matthew Vaughn,Action Adventure Sci-Fi,x-men: first class
90,90.0,90.0,Jennifer Lawrence,Philip Seymour Hoffman,Josh Hutcherson,Jennifer Lawrence Philip Seymour Hoffman Josh Hutcherson Francis Lawrence Adventure Sci-Fi,Francis Lawrence,Adventure Sci-Fi,the hunger games: mockingjay - part 2
91,91.0,91.0,Nicolas Cage,Omar Benson Miller,Robert Capron,Nicolas Cage Omar Benson Miller Robert Capron Jon Turteltaub Action Adventure Family Fantasy,Jon Turteltaub,Action Adventure Family Fantasy,the sorcerer's apprentice
92,92.0,92.0,Jimmy Bennett,Mike Vogel,Andre Braugher,Jimmy Bennett Mike Vogel Andre Braugher Wolfgang Petersen Action Adventure Drama Thriller,Wolfgang Petersen,Action Adventure Drama Thriller,poseidon
93,93.0,93.0,Johnny Depp,Alan Rickman,Anne Hathaway,Johnny Depp Alan Rickman Anne Hathaway James Bobin Adventure Family Fantasy,James Bobin,Adventure Family Fantasy,alice through the looking glass
94,94.0,94.0,Justin Timberlake,Eric Idle,Rupert Everett,Justin Timberlake Eric Idle Rupert Everett Chris Miller Adventure Animation Comedy Family Fantasy,Chris Miller,Adventure Animation Comedy Family Fantasy,shrek the third
95,95.0,95.0,Dominic Cooper,Callum Rennie,Ruth Negga,Dominic Cooper Callum Rennie Ruth Negga Duncan Jones Action Adventure Fantasy,Duncan Jones,Action Adventure Fantasy,warcraft
96,96.0,96.0,J.K. Simmons,Emilia Clarke,Matt Smith,J.K. Simmons Emilia Clarke Matt Smith Alan Taylor Action Adventure Sci-Fi,Alan Taylor,Action Adventure Sci-Fi,terminator genisys
97,97.0,97.0,Bruce Spence,Shane Rangi,Laura Brent,Bruce Spence Shane Rangi Laura Brent Michael Apted Adventure Family Fantasy,Michael Apted,Adventure Family Fantasy,the chronicles of narnia: the voyage of the dawn treader
98,98.0,98.0,Jennifer Garner,Jaime King,Mako,Jennifer Garner Jaime King Mako Michael Bay Action Drama History Romance War,Michael Bay,Action Drama History Romance War,pearl harbor
99,99.0,99.0,Zack Ward,Michael O'Neill,Kevin Dunn,Zack Ward Michael O'Neill Kevin Dunn Michael Bay Action Adventure Sci-Fi,Michael Bay,Action Adventure Sci-Fi,transformers
100,100.0,100.0,Anthony Hopkins,Angelina Jolie Pitt,Brian Blessed,Anthony Hopkins Angelina Jolie Pitt Brian Blessed Oliver Stone Action Adventure Biography Drama History Romance War,Oliver Stone,Action Adventure Biography Drama History Romance War,alexander
101,101.0,101.0,Robert Pattinson,Daniel Radcliffe,Fiona Shaw,Robert Pattinson Daniel Radcliffe Fiona Shaw David Yates Adventure Family Fantasy Mystery,David Yates,Adventure Family Fantasy Mystery,harry potter and the order of the phoenix
102,102.0,102.0,Robert Pattinson,Daniel Radcliffe,Rupert Grint,Robert Pattinson Daniel Radcliffe Rupert Grint Mike Newell Adventure Family Fantasy Mystery,Mike Newell,Adventure Family Fantasy Mystery,harry potter and the goblet of fire
103,103.0,103.0,Will Smith,Charlize Theron,Eddie Marsan,Will Smith Charlize Theron Eddie Marsan Peter Berg Action Drama,Peter Berg,Action Drama,hancock
104,104.0,104.0,Will Smith,Alice Braga,Willow Smith,Will Smith Alice Braga Willow Smith Francis Lawrence Drama Horror Sci-Fi,Francis Lawrence,Drama Horror Sci-Fi,i am legend
105,105.0,105.0,Johnny Depp,Christopher Lee,David Kelly,Johnny Depp Christopher Lee David Kelly Tim Burton Adventure Comedy Family Fantasy,Tim Burton,Adventure Comedy Family Fantasy,charlie and the chocolate factory
106,106.0,106.0,Janeane Garofalo,John Ratzenberger,Brian Dennehy,Janeane Garofalo John Ratzenberger Brian Dennehy Brad Bird Animation Comedy Family Fantasy,Brad Bird,Animation Comedy Family Fantasy,ratatouille
107,107.0,107.0,Christian Bale,Liam Neeson,Morgan Freeman,Christian Bale Liam Neeson Morgan Freeman Christopher Nolan Action Adventure,Christopher Nolan,Action Adventure,batman begins
108,108.0,108.0,Bernie Mac,Jada Pinkett Smith,Cedric the Entertainer,Bernie Mac Jada Pinkett Smith Cedric the Entertainer Eric Darnell Action Adventure Animation Comedy Family,Eric Darnell,Action Adventure Animation Comedy Family,madagascar: escape 2 africa
109,109.0,109.0,Robin Williams,Rami Malek,Steve Coogan,Robin Williams Rami Malek Steve Coogan Shawn Levy Adventure Comedy Family Fantasy,Shawn Levy,Adventure Comedy Family Fantasy,night at the museum: battle of the smithsonian
110,110.0,110.0,Hugh Jackman,Ryan Reynolds,Dominic Monaghan,Hugh Jackman Ryan Reynolds Dominic Monaghan Gavin Hood Action Adventure Fantasy Sci-Fi Thriller,Gavin Hood,Action Adventure Fantasy Sci-Fi Thriller,x-men origins: wolverine
111,111.0,111.0,Essie Davis,Collin Chou,Nona Gaye,Essie Davis Collin Chou Nona Gaye Lana Wachowski Action Sci-Fi,Lana Wachowski,Action Sci-Fi,the matrix revolutions
112,112.0,112.0,Josh Gad,Maurice LaMarche,Livvy Stubenrauch,Josh Gad Maurice LaMarche Livvy Stubenrauch Chris Buck Adventure Animation Comedy Family Fantasy Musical,Chris Buck,Adventure Animation Comedy Family Fantasy Musical,frozen
113,113.0,113.0,Steve Bastoni,Daniel Bernhardt,Helmut Bakaitis,Steve Bastoni Daniel Bernhardt Helmut Bakaitis Lana Wachowski Action Sci-Fi,Lana Wachowski,Action Sci-Fi,the matrix reloaded
114,114.0,114.0,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Chris Hemsworth Natalie Portman Anthony Hopkins Alan Taylor Action Adventure Fantasy,Alan Taylor,Action Adventure Fantasy,thor: the dark world
115,115.0,115.0,Tom Hardy,Charlize Theron,Zoë Kravitz,Tom Hardy Charlize Theron Zoë Kravitz George Miller Action Adventure Sci-Fi Thriller,George Miller,Action Adventure Sci-Fi Thriller,mad max: fury road
116,116.0,116.0,Tom Hanks,Ayelet Zurer,Armin Mueller-Stahl,Tom Hanks Ayelet Zurer Armin Mueller-Stahl Ron Howard Mystery Thriller,Ron Howard,Mystery Thriller,angels & demons
117,117.0,117.0,Chris Hemsworth,Natalie Portman,Anthony Hopkins,Chris Hemsworth Natalie Portman Anthony Hopkins Kenneth Branagh Action Adventure Fantasy,Kenneth Branagh,Action Adventure Fantasy,thor
118,118.0,118.0,Chloë Grace Moretz,Diedrich Bader,James Lipton,Chloë Grace Moretz Diedrich Bader James Lipton Byron Howard Adventure Animation Comedy Drama Family,Byron Howard,Adventure Animation Comedy Drama Family,bolt
119,119.0,119.0,Kelli Garner,Piper Mackenzie Harris,Niecy Nash,Kelli Garner Piper Mackenzie Harris Niecy Nash Hoyt Yeatman Action Adventure Animation Comedy Family Fantasy Sci-Fi,Hoyt Yeatman,Action Adventure Animation Comedy Family Fantasy Sci-Fi,g-force
120,120.0,120.0,Liam Neeson,Edgar Ramírez,Lily James,Liam Neeson Edgar Ramírez Lily James Jonathan Liebesman Action Adventure Fantasy,Jonathan Liebesman,Action Adventure Fantasy,wrath of the titans
121,121.0,121.0,Johnny Depp,Chloë Grace Moretz,Christopher Lee,Johnny Depp Chloë Grace Moretz Christopher Lee Tim Burton Comedy Fantasy Horror,Tim Burton,Comedy Fantasy Horror,dark shadows
